id	name	type	address	street_one	street_two	city	state	zip_code	location_description	open_from	open_to	open_time	close_time	sunday	monday	tuesday	wednesday	thursday	friday	saturday	snap	wic	fmnp	fresh_produce	mrfei_score	latitude	longitude
1	Beechview Farmers Market	Farmers Market		Broadway Ave	Beechview Ave	Pittsburgh	PA	15216		22-Jun	24-Sep	4:00 PM	7:00 PM	0	0	0	0	1	0	0	1			1			
2	Bloomfield Saturday Market	Farmers Market	5050 Liberty Ave			Pittsburgh	PA	15224		20-May	4-Nov	9:00 AM	1:00 PM	0	0	0	0	0	0	1	1			1			
3	Carrick Farmers Market	Farmers Market	1529 Brownsville Road			Pittsburgh	PA	15210		21-Jun	22-Nov	3:00 PM	7:00 PM	0	0	0	1	0	0	0	1			1			
4	East Liberty Farmers Market	Farmers Market		N. Euclid Ave	Station St	Pittsburgh	PA	15206		18-May	20-Nov	3:00 PM	7:00 PM	0	1	0	0	0	0	0	1			1			
5	Green Tree Farmers Market	Farmers Market	905 Greentree Road			Pittsburgh	PA	15220		18-May	26-Oct	4:00 PM	7:00 PM	0	0	0	0	1	0	0	1			1			
7	Lawrenceville Farmers Market	Farmers Market		40th St	Butler St	Pittsburgh	PA	15201	Arsenal Park	3-Jun	28-Oct	1:00 PM	4:00 PM	0	0	0	0	0	1	0	1			1
8	Market Square Farmers Market	Farmers Market		Forbes Ave	Market St	Pittsburgh	PA	15222		11-May	26-Oct	10:00 AM	2:00 PM	0	0	0	0	1	0	0	1			1			
9	Mellon Square Farmers Market	Farmers Market		Smithfield St	Sixth Ave	Pittsburgh	PA	15222	Mellon Square Park	12-May	26-Oct	10:30 AM	1:30 PM	0	0	0	0	0	1	0	1			1			
10	Moon Township Farmers Market	Farmers Market	1000 Beaver Grade Rd			Moon	PA	15108	Moon Municipal Building	7-Jun	27-Sep	3:00 PM	6:00 PM	0	0	0	1	0	0	0	1			1			
11	North Side Farmers Market	Farmers Market		East Ohio St	Cedar Ave	Pittsburgh	PA	15212		19-May	17-Nov	3:00 PM	7:00 PM	0	0	0	0	0	1	0	1			1			
12	Peters Township Farmers Market	Farmers Market	905 East McMurray Rd			Vanetia	PA	15367		24-May	27-Sep	3:00 PM	7:00 PM	0	0	0	1	0	0	0	1			1			
13	South Side Farmers Market	Farmers Market		18th St	East Carson St	Pittsburgh	PA	15203		16-May	21-Nov	3:00 PM	7:00 PM	0	0	1	0	0	0	0	1			1			
14	Squirrel Hill Farmers Market	Farmers Market		Beacon St	Bartlett St	Pittsburgh	PA	15217	Behind Murray Ave	4-Jun	12-Nov	9:00 AM	1:00 PM	1	0	0	0	0	0	0	1			1			
15	Swissvale Farmers Market	Farmers Market	7301 Schoyer Ave			Pittsburgh	PA	15218	Lot behind Dickson School	13-May	28-Oct	9:00 AM	1:00 PM	0	0	0	0	0	0	1	1			1			
16	Wilkinsburg Thursday Open Market	Farmers Market	225 Penn Ave			Wilkinsburg	PA	15221	LifeCare Hospital	15-Jun	16-Nov	3:00 PM	6:00 PM	0	0	0	0	1	0	0	1			1			
